강릉, , ,20 이상, ,11.6,-7.8,9.9, , ,25,남서,,1011.2
강진군, , ,16.2, ,8.1,-4.7,5.1, , ,40,서북서,,1016.4
강화, , ,20 이상, ,5.6,0.9,2.0, , ,72,서남서,,1017.0
거제, , ,20 이상, ,8.9,-5.0,7.5, , ,37,남남서,,1015.3
거창, , ,20 이상, ,9.7,-8.9,8.0, , ,26,서남서,,1014.4
경주시, , ,20 이상, ,12.5,-12.7,11.2, , ,16,서북서,,1013.7
고산, , ,20 이상, ,7.5,-0.9,2.4, , ,55,북서,,1019.3
고창, , ,17.3, ,6.4,-5.9,2.4, , ,41,서,,1019.2
고창군, , ,20 이상, ,6.8,-5.8,4.4, , ,40,서,,1018.8
고흥, , ,20 이상, ,9.2,-6.6,6.1, , ,32,북서,,1016.2
광양시, , ,7.8, ,11.3,-8.5,9.5, , ,24,서북서,,1015.4
광주,0,맑음,20 이상,0,8.5,-6.4,7.2, , ,34,서북서,,1018.1
구미, , ,20 이상, ,10.4,-9.8,10.2, , ,23,북서,,1015.1
군산, , , , ,5.8,-2.5,2.7, , ,55,서,,1019.3
금산, , ,20 이상, ,8.3,-5.9,6.5, , ,36,서,,1016.1
김해시, , ,20 이상, ,12.5,-9.9,11.6, , ,20,서북서,,1013.9
남원, , ,20 이상, ,7.4,-7.4,5.0, , ,34,서북서,,1017.5
남해, , ,20 이상, ,11.1,-8.7,9.3, , ,24,서북서,,1014.8
대관령, , ,20 이상, ,3.0,-12.5,-2.7, , ,31,서,,1011.9
대구,0,맑음,20 이상,0,10.9,-8.9,9.1, , ,24,북서,,1014.3
대전,0,맑음,20 이상,0,10.5,-8.2,9.0, , ,26,북서,,1016.4
동두천, , ,14.5, ,8.0,-4.4,5.7, , ,41,남서,,1015.6
동해, , ,20 이상, ,11.5,-7.3,11.1, , ,26,북북서,,1011.3
목포,0,맑음,20 이상,0,6.1,-4.1,2.3, , ,48,북서,,1019.2
문경, , ,20 이상, ,8.7,-11.8,6.0, , ,22,서북서,,1014.0
밀양, , ,20 이상, ,13.0,-12.2,12.7, , ,16,서,,1013.0
백령도,0,맑음,20 이상,0,7.5,-1.7,4.4, , ,52,남서,,1014.6
보령, , ,12.5, ,6.5,-1.6,4.8, , ,56,남남서,,1017.7
보성군, , ,20 이상, ,9.8,-4.9,6.8, , ,35,북서,,1016.1
보은, , ,20 이상, ,9.3,-8.3,8.3, , ,28,북서,,1015.1
봉화, , ,20 이상, ,8.7,-11.8,7.2, , ,22,남서,,1012.1
부산,0,맑음,20 이상,0,11.0,-2.7,9.0, , ,38,남남서,,1013.4
부안, , ,20 이상, ,6.7,-2.4,4.1, , ,52,서,,1018.5
부여, , ,20 이상, ,8.2,-5.3,6.3, , ,38,서,,1017.4
북강릉,0,맑음,20 이상,0,10.8,-9.5,9.5, , ,23,남서,,1010.1
북창원, , ,20 이상, ,12.1,-5.8,12.1, , ,28,남,,1013.6
북춘천,0,맑음,20 이상,0,8.6,-9.3,5.9, , ,27,남서,,1014.2
산청, , ,20 이상, ,9.7,-8.9,6.8, , ,26,서,,1015.8
상주, , ,20 이상, ,9.6,-9.0,8.4, , ,26,서남서,,1014.3
서귀포,0,맑음,20 이상,0,10.7,-0.1,9.9, , ,47,동,,1017.1
서산, , ,11.4, ,6.9,-1.0,4.0, , ,57,남서,,1017.6
서울, , ,20 이상, ,7.3,-2.1,4.3, , ,51,남서,,1016.0
성산, , ,20 이상, ,7.3,-3.0,3.5, , ,48,서북서,,1018.2
세종, , ,20 이상, ,8.2,-9.2,6.8, , ,28,서,,1016.4
속초, , ,20 이상, ,10.9,-13.2,9.8, , ,17,서,,1009.8
수원,0,맑음,20 이상,0,6.9,-2.8,3.7, , ,50,서,,1017.1
순창군, , , , ,7.3,-7.1,4.8, , ,35,북서,,1017.5
순천, , ,19.3, ,9.1,-8.0,6.8, , ,29,서북서,,1014.8
안동,0,맑음,20 이상,0,9.8,-12.7,7.4, , ,19,서북서,,1014.7
양산시, , ,13.2, ,12.8,-7.8,12.1, , ,23,서남서,,1013.5
양평, , ,20 이상, ,8.2,-7.5,5.9, , ,32,서,,1016.4
여수,0,맑음,20 이상,0,10.8,-9.0,7.8, , ,24,북서,,1015.2
영광군, , ,20 이상, ,6.3,-4.4,3.7, , ,46,북서,,1019.4
영덕, , ,20 이상, ,12.1,-10.2,11.2, , ,20,서남서,,1012.4
영월, , ,20 이상, ,8.4,-10.0,6.8, , ,26,서남서,,1014.0
영주, , ,20 이상, ,8.1,-10.7,4.3, , ,25,북서,,1013.2
영천, , ,20 이상, ,10.8,-11.9,9.1, , ,19,서북서,,1014.6
완도, , ,20 이상, ,8.1,-3.7,4.9, , ,43,서북서,,1018.0
울릉도,0,맑음,20 이상,0,9.3,0.1,7.2,0.0, ,53,남서,,1011.2
울산,0,맑음,20 이상,0,10.1,-2.9,9.5, , ,40,남동,,1013.3
울진, , ,20 이상, ,9.4,-1.3,8.5, , ,47,동,,1011.7
원주, , ,19.9, ,8.3,-10.1,6.2, , ,26,서남서,,1014.9
의령군, , ,20 이상, ,13.0,-22.1,11.0, , ,7,서,,1013.9
의성, , ,20 이상, ,10.6,-9.1,9.1, , ,24,서,,1013.4
이천,0,맑음,19.4,0,7.8,-6.3,5.3, , ,36,서,,1016.5
인제, , ,13.0, ,8.1,-11.3,5.6, , ,24,남,,1012.5
인천,0,맑음,20 이상,0,5.3,-1.6,1.5, , ,61,남서,,1016.6
임실, , ,20 이상, ,6.7,-5.3,5.3, , ,42,북서,,1016.9
장수, , ,20 이상, ,5.5,-7.7,2.8, , ,38,서북서,,1016.8
장흥, , ,20 이상, ,7.9,-5.2,5.7, , ,39,북북서,,1017.4
전주,0,맑음,20 이상,0,7.2,-6.5,4.4, , ,37,서,,1018.0
정선군, , ,20 이상, ,7.2,-13.7,3.6, , ,21,북동,,1013.2
정읍, , ,20 이상, ,6.7,-6.3,4.5, , ,39,북북서,,1018.6
제주, , ,20 이상, ,8.3,-2.0,5.3, , ,48,서북서,,1020.3
제천, , ,19.8, ,7.1,-8.5,4.3, , ,32,남서,,1013.9
진도군, , ,20 이상, ,6.4,-3.8,3.6, , ,48,서북서,,1018.6
진주, , ,19.8, ,11.9,-6.5,11.6, , ,27,남서,,1014.6
창원,0,맑음,20 이상,0,9.4,-8.2,7.9, , ,28,남남서,,1013.8
천안, , ,20 이상, ,8.8,-6.2,7.5, , ,34,북서,,1016.1
